n;zona;municipio;provincia;pais;origen;lat;lon;sol_horas_anio;sol_dias_equiv;dias_despejados;dias_cubiertos;lluvia_dias_anio;lluvia_mm_anio;temp_verano_c;temp_invierno_c;humedad_pct;viento;niebla;clase_clima;min_costa;playa_bano;min_bano;temp_agua_verano;franja;servicios_1_10;servicios_nota;fibra;comunicaciones;comunicaciones_1_10;hospitales;hospital_km;hospital_min;hospital_pub;hospital_priv;aeropuertos;aeropuerto_min;palma_mas_cercano;palma_mejor_opcion;precio_m2_eur;A_2hab_eur;A_3hab_eur;B_2hab_eur;B_3hab_eur;producto_en_presupuesto;obra_nueva;prima_terraza_pct;prima_vistas_mar_pct;prima_terraza_vistas_pct;facilidad_venta_1_10;revalorizacion_1_10;dependencia_coche_1_10;debilidad_principal;comparado_con_mejor
11;Vigo e ría;Soutomaior;Pontevedra;España;Ampliación;42.33;-8.57;2250;281;72;118;130;1750;20.5;9.5;78;Baja;Baja;Favorable;8;Arcade / Cesantes (ría);8;18-20;B;4;Añade: Arcade (ostras, tren). Falta: instituto, comercio grande;Parcial;"N-550 / AP-9; tren en Arcade";7;"Montecelo (Pontevedra) [Púb] 14 km · 15 min; Povisa (Vigo) [Priv] 21 km · 25 min; Álvaro Cunqueiro (Vigo) [Púb] 25 km · 30 min";14;15;14 km · 15 min · Montecelo (Pontevedra);21 km · 25 min · Povisa (Vigo);"Vigo 15 km · 15 min (Palma: verano); Santiago 78 km · 60 min (Palma: casi todo el año); Porto 147 km · 110 min (Palma: verano)";15;Verano;Santiago (casi todo el año) · 60 min;1300;;;88700;122800;Sí, en ambas franjas;Poca;5;8;11;5;6;7;"Fondo de ría, sin mar abierto; vivienda dispersa. Franja B: fondo de la ría de Vigo (Arcade) a 8 min de costa abierta; agua de ría muy tranquila. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 60 min · 2.250 h de sol y 130 días de lluvia (300 h menos y 25 días más que el mejor de la tabla) · fibra solo en el casco: fuera, 4G/5G o satélite · servicios básicos limitados (4/10).";Sol −300 h · Lluvia +25 d · Hospital +10 min · Aeropuerto +5 min
12;Vigo e ría;Vilaboa;Pontevedra;España;Ampliación;42.352;-8.64;2250;281;72;118;130;1700;20.5;9.5;78;Baja;Baja;Favorable;5;Praia do Cabalo / Paredes (ría);5;18-20;A;3;Falta: casi todo el comercio (Pontevedra a 10 min);Parcial;"N-550 / AP-9; bus";6;"Montecelo (Pontevedra) [Púb] 10 km · 15 min; Povisa (Vigo) [Priv] 20 km · 25 min; Álvaro Cunqueiro (Vigo) [Púb] 24 km · 25 min";10;15;10 km · 15 min · Montecelo (Pontevedra);20 km · 25 min · Povisa (Vigo);"Vigo 16 km · 15 min (Palma: verano); Santiago 77 km · 60 min (Palma: casi todo el año); Porto 150 km · 110 min (Palma: verano)";15;Verano;Santiago (casi todo el año) · 60 min;1300;109800;152100;88700;122800;Sí, en ambas franjas;No;5;8;11;5;6;8;"Sin núcleo urbano definido; depende de Pontevedra. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 60 min · 2.250 h de sol y 130 días de lluvia (300 h menos y 25 días más que el mejor de la tabla) · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (3/10) · coche imprescindible para el día a día.";Sol −300 h · Lluvia +25 d · Hospital +10 min · Aeropuerto +5 min
13;O Morrazo;Cangas;Pontevedra;España;MAPA 2.0;42.264;-8.782;2300;288;72;120;125;1500;20.0;10.0;79;Baja;Baja;Favorable;1;Rodeira / Menduíña / Nerga;2;17-19;A;7;Añade: barco a Vigo, gran oferta de playas. Falta: hospital cercano por carretera;Sí;"PO-551 / VG-4.6; barco a Vigo; bus";5;"Montecelo (Pontevedra) [Púb] 35 km · 35 min; Quirónsalud Pontevedra [Priv] 35 km · 35 min; Álvaro Cunqueiro (Vigo) [Púb] 35 km · 35 min; Povisa (Vigo) [Priv] 40 km · 40 min";35;35;35 km · 35 min · Montecelo (Pontevedra);35 km · 35 min · Quirónsalud Pontevedra;"Vigo 50 km · 40 min (Palma: verano); Santiago 93 km · 70 min (Palma: casi todo el año); Porto 138 km · 105 min (Palma: verano)";40;Verano;Santiago (casi todo el año) · 70 min;1750;147900;204800;119400;165400;Sí, en ambas franjas;Sí;8;15;20;8;7;5;"Tráfico y saturación en verano; hospital a 35 min. Además: hospital público a 35 min · vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 70 min · 250 h de sol menos y 20 días de lluvia más que el mejor de la tabla.";Sol −250 h · Lluvia +20 d · Hospital +30 min · Aeropuerto +30 min
14;O Morrazo;Moaña;Pontevedra;España;MAPA 2.0;42.28;-8.735;2250;281;72;120;128;1550;20.0;10.0;79;Baja;Baja;Favorable;2;A Xunqueira / O Con (ría);3;18-20;A;6;Añade: barco a Vigo. Falta: instituto de FP;Sí;"AP-9 (Rande) / PO-551; barco a Vigo; bus";7;"Montecelo (Pontevedra) [Púb] 30 km · 30 min; Quirónsalud Pontevedra [Priv] 30 km · 30 min; Álvaro Cunqueiro (Vigo) [Púb] 30 km · 30 min; Povisa (Vigo) [Priv] 30 km · 30 min";30;30;30 km · 30 min · Montecelo (Pontevedra);30 km · 30 min · Quirónsalud Pontevedra;"Vigo 42 km · 35 min (Palma: verano); Santiago 89 km · 70 min (Palma: casi todo el año); Porto 140 km · 105 min (Palma: verano)";35;Verano;Santiago (casi todo el año) · 70 min;1600;135200;187200;109200;151200;Sí, en ambas franjas;Poca;7;12;16;7;7;5;"Playas de ría; dependencia de Vigo vía Rande. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 70 min · 2.250 h de sol y 128 días de lluvia (300 h menos y 23 días más que el mejor de la tabla).";Sol −300 h · Lluvia +23 d · Hospital +25 min · Aeropuerto +25 min
15;O Morrazo;Bueu;Pontevedra;España;MAPA 2.0;42.325;-8.786;2300;288;72;120;125;1500;20.0;10.0;79;Baja;Baja;Favorable;1;Lapamán / Beluso / Área de Bon;5;17-19;A;5;Añade: barco a Ons. Falta: instituto de FP, comercio grande;Sí;"PO-551 / PO-320; bus";5;"Quirónsalud Pontevedra [Priv] 22 km · 25 min; Montecelo (Pontevedra) [Púb] 30 km · 30 min; Álvaro Cunqueiro (Vigo) [Púb] 40 km · 40 min; Povisa (Vigo) [Priv] 45 km · 45 min";22;25;30 km · 30 min · Montecelo (Pontevedra);22 km · 25 min · Quirónsalud Pontevedra;"Vigo 57 km · 45 min (Palma: verano); Santiago 86 km · 65 min (Palma: casi todo el año); Porto 146 km · 110 min (Palma: verano)";45;Verano;Santiago (casi todo el año) · 65 min;1500;126800;175500;102400;141800;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Mercado pequeño; hospital a 30 min. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 65 min · 250 h de sol menos y 20 días de lluvia más que el mejor de la tabla.";Sol −250 h · Lluvia +20 d · Hospital +20 min · Aeropuerto +35 min
16;O Morrazo;Marín;Pontevedra;España;Ampliación;42.392;-8.7;2300;288;72;120;125;1550;20.0;10.0;79;Baja;Baja;Favorable;3;Portocelo / Mogor / Aguete;5;18-20;A;7;Añade: Pontevedra a 10 min, Escuela Naval;Sí;"PO-551 / VG-4.4; bus frecuente a Pontevedra";6;"Quirónsalud Pontevedra [Priv] 9 km · 10 min; Montecelo (Pontevedra) [Púb] 10 km · 15 min; Álvaro Cunqueiro (Vigo) [Púb] 35 km · 35 min; Povisa (Vigo) [Priv] 35 km · 35 min";9;10;10 km · 15 min · Montecelo (Pontevedra);9 km · 10 min · Quirónsalud Pontevedra;"Vigo 50 km · 40 min (Palma: verano); Santiago 74 km · 55 min (Palma: casi todo el año); Porto 155 km · 115 min (Palma: verano)";40;Verano;Santiago (casi todo el año) · 55 min;1500;126800;175500;102400;141800;Sí, en ambas franjas;Poca;7;12;16;7;6;4;"Puerto comercial y ambiente urbano en el centro; vistas solo en la periferia oeste. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 55 min · 250 h de sol menos y 20 días de lluvia más que el mejor de la tabla.";Sol −250 h · Lluvia +20 d · Hospital +5 min · Aeropuerto +30 min
17;Pontevedra e Sanxenxo;Pontevedra;Pontevedra;España;MAPA 1.0;42.431;-8.644;2250;281;72;120;130;1600;20.5;9.5;78;Baja;Baja;Favorable;15;Lourido (Poio) / Portocelo (Marín);12;18-20;B;10;Añade: ciudad peatonal modelo, hospitales, tren. Falta: playa urbana;Sí;"AP-9 / A-57 / N-550; tren Eixo Atlántico; estación de bus";9;"Quirónsalud Pontevedra [Priv] 1 km · 5 min; Montecelo (Pontevedra) [Púb] 3 km · 5 min; Hospital do Salnés (Vilagarcía) [Púb] 23 km · 25 min";1;5;3 km · 5 min · Montecelo (Pontevedra);1 km · 5 min · Quirónsalud Pontevedra;"Vigo 27 km · 25 min (Palma: verano); Santiago 67 km · 50 min (Palma: casi todo el año); Porto 161 km · 120 min (Palma: verano)";25;Verano;Santiago (casi todo el año) · 50 min;1900;;;129700;179600;Sí, en ambas franjas;Sí;8;10;15;9;7;2;"Sin playa urbana; menos vistas al mar que en la costa. Franja B: la ciudad está al fondo de la ría, a 12-15 min de playa; incluida por servicios y hospital. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 50 min · 2.250 h de sol y 130 días de lluvia (300 h menos y 25 días más que el mejor de la tabla).";Sol −300 h · Lluvia +25 d · Hospital = mejor · Aeropuerto +15 min
18;Pontevedra e Sanxenxo;Poio;Pontevedra;España;Ampliación;42.445;-8.68;2300;288;72;120;125;1500;20.0;10.0;79;Baja;Baja;Favorable;5;Lourido / Raxó / Cabeceira;5;18-20;A;6;Añade: Pontevedra al otro lado del puente. Falta: centro urbano propio;Sí;"PO-308 / AP-9; bus a Pontevedra";7;"Quirónsalud Pontevedra [Priv] 5 km · 10 min; Montecelo (Pontevedra) [Púb] 8 km · 10 min; Hospital do Salnés (Vilagarcía) [Púb] 20 km · 25 min";5;10;8 km · 10 min · Montecelo (Pontevedra);5 km · 10 min · Quirónsalud Pontevedra;"Vigo 30 km · 25 min (Palma: verano); Santiago 67 km · 50 min (Palma: casi todo el año); Porto 162 km · 120 min (Palma: verano)";25;Verano;Santiago (casi todo el año) · 50 min;1900;160600;222300;129700;179600;Sí, en ambas franjas;Sí;7;12;16;8;7;5;"Municipio disperso; depende de Pontevedra para casi todo. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 50 min · 250 h de sol menos y 20 días de lluvia más que el mejor de la tabla.";Sol −250 h · Lluvia +20 d · Hospital +5 min · Aeropuerto +15 min
19;Pontevedra e Sanxenxo;Sanxenxo;Pontevedra;España;Ampliación;42.401;-8.807;2400;300;70;120;118;1300;19.5;10.0;79;Media;Baja;Más favorable;1;Silgar / Areas / Montalvo;2;18-20;A;6;Añade: puerto deportivo, oferta turística amplia. Falta: hospital (30 min);Sí;"PO-308 / VG-4.1; bus";6;"Quirónsalud Pontevedra [Priv] 18 km · 20 min; Montecelo (Pontevedra) [Púb] 20 km · 25 min; Hospital do Salnés (Vilagarcía) [Púb] 30 km · 30 min";18;20;20 km · 25 min · Montecelo (Pontevedra);18 km · 20 min · Quirónsalud Pontevedra;"Vigo 64 km · 50 min (Palma: verano); Santiago 71 km · 55 min (Palma: casi todo el año); Porto 157 km · 115 min (Palma: verano)";50;Verano;Santiago (casi todo el año) · 55 min;2900;245000;339300;197900;274000;Solo 2 hab;Sí;8;15;20;9;7;5;"Precio más alto de Galicia; en invierno se vacía bastante. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 55 min · 150 h de sol menos y 13 días de lluvia más que el mejor de la tabla · 3 hab en franja A por encima del presupuesto (≈339.300 €); 2 hab sí.";Sol −150 h · Lluvia +13 d · Hospital +15 min · Aeropuerto +40 min
20;Pontevedra e Sanxenxo;O Grove;Pontevedra;España;Ampliación;42.494;-8.865;2400;300;70;120;115;1250;19.5;10.0;79;Media;Baja;Más favorable;1;A Lanzada / Area da Cruz / Mexilloeira;3;18-20;A;6;Añade: puerto pesquero vivo, gastronomía. Falta: hospital (30 min);Sí;"PO-316 / VG-4.1; bus";5;"Hospital do Salnés (Vilagarcía) [Púb] 30 km · 30 min; Montecelo (Pontevedra) [Púb] 45 km · 45 min; Quirónsalud Pontevedra [Priv] 45 km · 45 min";30;30;30 km · 30 min · Hospital do Salnés (Vilagarcía);45 km · 45 min · Quirónsalud Pontevedra;"Vigo 78 km · 60 min (Palma: verano); Santiago 78 km · 60 min (Palma: casi todo el año)";60;Verano;Santiago (casi todo el año) · 60 min;2300;194400;269100;157000;217400;"Sí en B; en A solo 2 hab";Poca;8;15;20;8;7;6;"Península con un único acceso; hospital a 30 min. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 60 min · 150 h de sol menos y 10 días de lluvia más que el mejor de la tabla · 3 hab en franja A por encima del presupuesto (≈269.100 €); 2 hab sí.";Sol −150 h · Lluvia +10 d · Hospital +25 min · Aeropuerto +50 min
21;O Salnés;Meaño;Pontevedra;España;Ampliación;42.446;-8.78;2350;294;70;120;118;1400;19.5;10.0;79;Baja;Baja;Favorable;5;Praia da Lanzada / Raxó;10;18-20;A;3;"Falta: núcleo urbano; comercio en Sanxenxo / Cambados";Parcial;"PO-550 / PO-308; bus escaso";4;"Quirónsalud Pontevedra [Priv] 15 km · 20 min; Hospital do Salnés (Vilagarcía) [Púb] 18 km · 20 min; Montecelo (Pontevedra) [Púb] 18 km · 20 min";15;20;18 km · 20 min · Hospital do Salnés (Vilagarcía);15 km · 20 min · Quirónsalud Pontevedra;"Vigo 33 km · 30 min (Palma: verano); Santiago 71 km · 55 min (Palma: casi todo el año); Porto 163 km · 120 min (Palma: verano)";30;Verano;Santiago (casi todo el año) · 55 min;1350;114100;158000;92100;127600;Sí, en ambas franjas;No;5;8;11;5;6;9;"Sin núcleo urbano; viñedo disperso, coche para todo. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 55 min · 200 h de sol menos y 13 días de lluvia más que el mejor de la tabla · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (3/10) · comunicaciones flojas (4/10) · coche imprescindible para el día a día.";Sol −200 h · Lluvia +13 d · Hospital +15 min · Aeropuerto +20 min
